2023-10-11 12:11:15,233 - INFO - Export button disabled for candidate: KELLY ARMSTRONG, State: ND, District: 00
2023-10-11 12:11:26,647 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10289a250>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/2589eecd-6039-405f-8553-92bdc6a9396d/element
2023-10-11 12:11:26,647 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10288f8e0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/2589eecd-6039-405f-8553-92bdc6a9396d/element
2023-10-11 12:11:26,648 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10288f5e0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/2589eecd-6039-405f-8553-92bdc6a9396d/element
2023-10-11 12:11:26,648 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10288f6a0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/2589eecd-6039-405f-8553-92bdc6a9396d/element
2023-10-11 12:11:26,671 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x104578f70>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/9539827b-ae60-41bb-bc04-47ab74e3a6da/element
2023-10-11 12:11:26,671 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1028ad1c0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/9539827b-ae60-41bb-bc04-47ab74e3a6da/element
2023-10-11 12:11:26,672 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1028ad790>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/9539827b-ae60-41bb-bc04-47ab74e3a6da/element
2023-10-11 12:11:26,672 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1028adf70>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/9539827b-ae60-41bb-bc04-47ab74e3a6da/refresh
2023-10-11 12:11:26,673 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x104568fd0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/9539827b-ae60-41bb-bc04-47ab74e3a6da/refresh
2023-10-11 12:11:26,673 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x102897130>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/9539827b-ae60-41bb-bc04-47ab74e3a6da/refresh
2023-10-11 12:11:26,699 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10457ed90>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/626dc73f-ea75-446e-9c9d-5ec4b0548642/element
2023-10-11 12:11:26,699 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1028ad520>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/626dc73f-ea75-446e-9c9d-5ec4b0548642/element
2023-10-11 12:11:26,700 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1028adfd0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/626dc73f-ea75-446e-9c9d-5ec4b0548642/element
2023-10-11 12:11:26,700 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1028a8b20>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/626dc73f-ea75-446e-9c9d-5ec4b0548642/refresh
2023-10-11 12:11:26,701 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1028a8640>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/626dc73f-ea75-446e-9c9d-5ec4b0548642/refresh
2023-10-11 12:11:26,701 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1028a8700>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/626dc73f-ea75-446e-9c9d-5ec4b0548642/refresh
2023-10-11 12:11:27,191 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1045681f0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/ca3a4e76-c8c0-4d53-8a73-3d3d821bbcbe/back
2023-10-11 12:11:27,194 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x102897d90>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/ca3a4e76-c8c0-4d53-8a73-3d3d821bbcbe/back
2023-10-11 12:11:27,197 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x102897100>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/ca3a4e76-c8c0-4d53-8a73-3d3d821bbcbe/back
2023-10-11 12:11:30,937 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x104568c70>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/cc87dd07-38ae-4e60-b845-2d92e6cd417a/execute/sync
2023-10-11 12:11:30,939 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1028a6d30>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/cc87dd07-38ae-4e60-b845-2d92e6cd417a/execute/sync
2023-10-11 12:11:30,940 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10457e910>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/cc87dd07-38ae-4e60-b845-2d92e6cd417a/execute/sync
